dataset,score
905, -0.996523 
906, -0.999954 
907, -0.996258 
908, -0.998355 
909, -0.993329 
910, -0.995216 
911, -0.999277 
912, -0.998357 
913, -0.998654 
914, -0.998715 
915, -0.999313 
916, -0.999448 
917, -0.999634 
918, -0.999274 
919, -0.999295 
920, -0.997411 
921, -0.995846 
922, -0.991759 
923, -0.993812 
924, -0.995086 
925, -0.999773 
926, -0.999661 
927, -0.999397 
928, -0.996373 
929, -0.998717 
930, -0.999430 
931, -0.999070 
932, -0.997514 
933, -0.999758 
934, -0.999579 
935, -0.998942 
936, -0.999250 
937, -0.997348 
938, -0.999787 
939, -0.994788 
940, -0.999408 
941, -0.998687 
942, -0.997052 
943, -0.999423 
944, -0.997237 
945, -0.996730 
946, -0.999139 
947, -0.998708 
948, -0.999927 
949, -0.999010 
950, -0.999032 
951, -0.999430 
952, -0.998929 
953, -0.999600 
954, -0.998823 
955, -0.999964 
956, -0.997620 
957, -0.999368 
958, -0.997343 
959, -0.997933 
960, -0.995363 
961, -0.997283 
962, -0.997766 
963, -0.999852 
964, -0.998851 
965, -0.999314 
966, -0.999916 
967, -0.999854 
968, -0.999110 
969, -0.998321 
970, -0.998587 
971, -0.999133 
972, -0.999965 
973, -0.996607 
974, -0.999698 
975, -0.998804 
976, -0.994363 
977, -0.998342 
978, -0.998026 
979, -0.999499 
980, -0.997658 
981, -0.999094 
982, -0.999751 
983, -0.997552 
984, -0.998637 
985, -0.998674 
986, -0.998633 
987, -0.999175 
988, -0.997232 
989, -0.997317 
990, -0.999725 
991, -0.998478 
992, -0.991833 
993, -0.995932 
994, -0.998683 
995, -0.998298 
996, -0.994883 
997, -0.999347 
998, -0.998894 
999, -0.999977 
1000, -0.999910 
1001, -0.998953 
1002, -0.999894 
1003, -0.999146 
1004, -0.998089 
1005, -0.999291 
1006, -0.999129 
1007, -0.998522 
1008, -0.996753 
1009, -0.996713 
1010, -0.999941 
1011, -0.999190 
1012, -0.997892 
1013, -0.996939 
1014, -0.998801 
1015, -0.998972 
1016, -0.999007 
1017, -0.999963 
1018, -0.992796 
1019, -0.999963 
1020, -0.995901 
1021, -0.998948 
1022, -0.999433 
1023, -0.998728 
1024, -0.998754 
1025, -0.998197 
1026, -0.996380 
1027, -0.997697 
1028, -0.998969 
1029, -0.999194 
1030, -0.999425 
1031, -0.998777 
1032, -0.999663 
1033, -0.999909 
1034, -0.999336 
1035, -0.998236 
1036, -0.999845 
1037, -0.999578 
1038, -0.998314 
1039, -0.997609 
1040, -0.999908 
1041, -0.998991 
1042, -0.998474 
1043, -0.999867 
1044, -0.998122 
1045, -0.997971 
1046, -0.996802 
1047, -0.999984 
1048, -0.997841 
1049, -0.999100 
1050, -0.998920 
1051, -0.998707 
1052, -0.998034 
1053, -0.999996 
1054, -0.998884 
1055, -0.993971 
1056, -0.998158 
1057, -0.999531 
1058, -0.998988 
1059, -0.998396 
1060, -0.999512 
1061, -0.995320 
1062, -0.992935 
1063, -0.997091 
1064, -0.999474 
1065, -0.999645 
1066, -0.999464 
1067, -0.999618 
1068, -0.999168 
1069, -0.999893 
1070, -0.999459 
1071, -0.999215 
1072, -0.999819 
1073, -0.999619 
1074, -0.999019 
1075, -0.999471 
1076, -0.997803 
1077, -0.997086 
1078, -0.997574 
1079, -0.994881 
1080, -0.994796 
1081, -0.998855 
1082, -0.998483 
1083, -0.999550 
1084, -0.999365 
1085, -0.994849 
1086, -0.997661 
1087, -0.999459 
1088, -0.998816 
1089, -0.996584 
1090, -0.998996 
1091, -0.999514 
1092, -0.993895 
1093, -0.996304 
1094, -0.999506 
1095, -0.996696 
1096, -0.998333 
1097, -0.998691 
1098, -0.999590 
1099, -0.998870 
1100, -0.998083 
1101, -0.998088 
1102, -0.999380 
1103, -0.995986 
1104, -0.999791 
1105, -0.999699 
1106, -0.998982 
1107, -0.999998 
1108, -0.998642 
1109, -0.999630 
1110, -0.999977 
1111, -0.998728 
1112, -0.996929 
1113, -0.998021 
1114, -0.999810 
1115, -0.998871 
1116, -0.999753 
1117, -0.999944 
1118, -0.998771 
1119, -0.997652 
1120, -0.998695 
1121, -0.992919 
1122, -0.997258 
1123, -0.999148 
1124, -0.999231 
1125, -0.999927 
1126, -0.997591 
1127, -0.999503 
1128, -0.999861 
1129, -0.999077 
1130, -0.993929 
1131, -0.997948 
1132, -0.997336 
1133, -0.995098 
1134, -0.996683 
1135, -0.999816 
1136, -0.999057 
1137, -0.999885 
1138, -0.999977 
1139, -0.999357 
1140, -0.999391 
1141, -0.999967 
1142, -0.999133 
1143, -0.999838 
1144, -0.999862 
1145, -0.997273 
1146, -0.998189 
1147, -0.998082 
1148, -0.999638 
1149, -0.999094 
1150, -0.998866 
1151, -0.997395 
1152, -0.997955 
1153, -0.998494 
1154, -0.999477 
1155, -0.998197 
1156, -0.999659 
1157, -0.999680 
1158, -0.997323 
1159, -0.998506 
1160, -0.999914 
1161, -0.999485 
1162, -0.997329 
1163, -0.998663 
1164, -0.996620 
1165, -0.998312 
1166, -0.999944 
1167, -0.997086 
1168, -0.999674 
1169, -0.997945 
1170, -0.999524 
1171, -0.998170 
1172, -0.997811 
1173, -0.999622 
1174, -0.996796 
1175, -0.998319 
1176, -0.998565 
1177, -0.999855 
1178, -0.999388 
1179, -0.999070 
1180, -0.999612 
1181, -0.999611 
1182, -0.998157 
1183, -0.999978 
1184, -0.999228 
1185, -0.998054 
1186, -0.999882 
1187, -0.998812 
1188, -0.999350 
1189, -0.997066 
1190, -0.999610 
1191, -0.998604 
1192, -0.996887 
1193, -0.999281 
1194, -0.998746 
1195, -0.999785 
1196, -0.999355 
1197, -0.999585 
1198, -0.999378 
1199, -0.996571 
1200, -0.994263 
